https://lgc.data.wegenenverkeer.be/ns/installatie#IRVerlichter	IRVerlichter (Legacy)	IRVerlichter	Infrarood verlichter bij een camera, bv. Tattile
https://lgc.data.wegenenverkeer.be/ns/installatie#Voedingskeuzeschakelaar	Voedingskeuzeschakelaar (Legacy)	VKS	Voedingskeuzeschakelaar
https://lgc.data.wegenenverkeer.be/ns/installatie#Z30Controller	Zone30 controller (Legacy)	Z30Controller	Controller aan Zone30 borden
https://lgc.data.wegenenverkeer.be/ns/installatie#CaDoGroep	CalamiteitendoorsteekGroep (Legacy)	CaDoGroep	Groep voor Calamiteitendoorsteek assets
https://lgc.data.wegenenverkeer.be/ns/installatie#LWP	Lekwaterpomp (Legacy)	LWP	Pomp om lekwater weg te pompen
https://lgc.data.wegenenverkeer.be/ns/installatie#HY.CI	Hydraulische cilinder (Legacy)	HY.CI	Cilinder voor het bewegen van sluisdeur of stuwklep
https://lgc.data.wegenenverkeer.be/ns/installatie#HY.GR	Hydraulische groep (Legacy)	HY.GR	groep die hydraulische olie verpompt naar cilinder
https://lgc.data.wegenenverkeer.be/ns/installatie#Poortbedieningen	PoortGroep (Legacy)	Poortbedieningen	Poortbedieningen
https://lgc.data.wegenenverkeer.be/ns/installatie#MotorLegacy	Motor (Legacy)	MotorLegacy	Aanstuurbare motor
https://lgc.data.wegenenverkeer.be/ns/onderdeel#StuurklepLeiding	Stuurklep Leiding	StuurklepLeiding	Bestuurbare (lokaal of vanop afstand) klep om het vloeistofniveau te regelen.
https://lgc.data.wegenenverkeer.be/ns/onderdeel#FlexibeleBuis	Flexibel	FlexibeleBuis	Flexibele buis voor het verpompen van vloeistoffen
https://lgc.data.wegenenverkeer.be/ns/installatie#ZoutBijlaadPlaats	ZBP (Legacy)	ZoutBijlaadPlaats	Bewaakt terrein om zout en pekel te stockeren en te laden.
https://lgc.data.wegenenverkeer.be/ns/installatie#ITSApp-RIS	ITSApp-RIS (Legacy)	ITSApp.RIS	Legacy type voor OTL types ITSApp en RIS (iVRI componenten)
https://lgc.data.wegenenverkeer.be/ns/installatie#Zoutsilo	ZOUTSILO (Legacy)	Zoutsilo	Zoutsilo
https://lgc.data.wegenenverkeer.be/ns/installatie#Pekeltank	PEKELTANK (Legacy)	Pekeltank	Pekeltank
https://lgc.data.wegenenverkeer.be/ns/installatie#BelInstallatie	BelInstallatie (Legacy)	BelInstallatie	Een bel
https://lgc.data.wegenenverkeer.be/ns/installatie#RIOOL	Riool (Legacy)	RIOOL	Legacy type RIOOL voor Akela
https://lgc.data.wegenenverkeer.be/ns/installatie#LokaalLegacy	Lokaal (Legacy)	LokaalLegacy	Lokaal
https://lgc.data.wegenenverkeer.be/ns/installatie#Dienstdeur	Dienstdeur (Legacy)	Dienstdeur	Toegang van een technische ruimte of gebouw
https://lgc.data.wegenenverkeer.be/ns/installatie#FietsTelDisplayLegacy	Fietsteldisplay (Legacy)	FietsTelDisplayLegacy	FietstelDisplay
https://lgc.data.wegenenverkeer.be/ns/installatie#FietsTelSysteemLegacy	Fietstelsysteem (Legacy)	FietsTelSysteemLegacy	Fietstelsysteem
https://lgc.data.wegenenverkeer.be/ns/installatie#DPBS	Dynamisch parkeerbeheersysteem (Legacy)	DPBS	DynamischParkeerbeheerSysteem
https://lgc.data.wegenenverkeer.be/ns/installatie#DPBSOnd	DPBS onderdeel (Legacy)	DPBSOnd	DPBSOnderdeel
https://lgc.data.wegenenverkeer.be/ns/installatie#WegDetectorLegacy	Weggebonden detector (Legacy)	WegDetectorLegacy	WeggebondenDetector
https://lgc.data.wegenenverkeer.be/ns/installatie#SegC	Segment controller (Legacy)	SegC	Controller die zorgt voor de bewaking en bediening van verlichtingssegmenten per paal en aldus zorgt voor de communicatie tussen de cabine en de armatuurcontrollers.
https://lgc.data.wegenenverkeer.be/ns/installatie#Netwerktoegang	NetwerktoegangLegacy	Netwerktoegang	Netwerktoegang
https://lgc.data.wegenenverkeer.be/ns/installatie#Turbine	Pompturbine (Legacy)	Turbine	Pompturbine
https://lgc.data.wegenenverkeer.be/ns/installatie#WeegsensorLegacy	Weegsensor (Legacy)	WeegsensorLegacy	Weegsensor
https://lgc.data.wegenenverkeer.be/ns/installatie#WeegsensorGroep	Weegsensor groep (Legacy)	WeegsensorGroep	Groepering van weegsensoren
https://lgc.data.wegenenverkeer.be/ns/installatie#Luchtkwaliteitssensor	Luchtkwaliteitssensor (Legacy)	Luchtkwaliteitssensor	luchtkwaliteitssensor
https://lgc.data.wegenenverkeer.be/ns/installatie#Beacon	Beacon (Legacy)	Beacon	Beacon
https://lgc.data.wegenenverkeer.be/ns/installatie#Leidingkoker	Leidingkoker (Legacy)	Leidingkoker	Koker voor leidingen
https://lgc.data.wegenenverkeer.be/ns/installatie#SeinBak	Bakensein (Legacy)	SeinBak	Bakensein
https://lgc.data.wegenenverkeer.be/ns/installatie#SeinSpui	Spuisein (Legacy)	SeinSpui	Spuisein
https://lgc.data.wegenenverkeer.be/ns/installatie#RLCGUI	BedieningRLC	RLCGUI	bedieningspaneel van federale politie
https://lgc.data.wegenenverkeer.be/ns/installatie#SlbGroep	Slagboom groep (Legacy)	SlbGroep	Slagboomgroep
https://lgc.data.wegenenverkeer.be/ns/installatie#Calam	Calamiteit wegen (Legacy)	Calam	Specifiek meldingstype wegen : calamiteitsmelding, vraag interventie district of aannemer district
https://lgc.data.wegenenverkeer.be/ns/installatie#Glad	Gladheidsmelding (Legacy)	Glad	Specifiek meldingstype wegen winterdienst : gladheidsmelding, vraag strooiactie
